identifier,guid,kind,desc_chars,wiki_pages,wiki_chars,n_files,n_doc_files,doc_files
10.17605/osf.io/a2tgb,a2tgb,nodes,0,1,30,25,11,Prereg-RR-style-Vastfjall-etal-2014-replication-extension-main-manuscript.docx | BI-realdata-analysis-v6-C-with-exclusions.docx | BI-realdata-analysis-v6-C-no-exclusions.docx | PCIP-Vastfjall-etal-2014-replication-extension-reply-to-decision-letter-annex-v4-G.docx | Mayiwar-etal-2026-PCIP-Vastfjall-etal-2014-replication-compassion-fade-preprint-v3.pdf | PCIP-Vastfjall-etal-2014-replication-extension-main-manuscript-v7-G.docx | PCIP-Vastfjall-etal-2014-replication-extension-title-page-v3-G.docx | PCIP-Vastfjall-etal-2014-replication-extension-cover-letter-v1.docx | PCIP-Vastfjall-etal-2014-replication-extension-supplementary-v3-G.docx | BI2_Vastfjall_et_al_2014_replication_and_extension.pdf
10.17605/osf.io/aytez,aytez,nodes,0,0,0,17,2,HenryObleserCruseyPeelle_RSOS_RR_R2_CLEAN4PREPRINT.pdf | Henry-2025-How_strong_is_the_rhythm_of_perception.pdf
10.17605/osf.io/b48nf,b48nf,nodes,0,1,1260,4,3,Stimuli Material.docx | online supplemental material.pdf | results w different video viewing cutoff time.docx
10.17605/osf.io/ad6xj,ad6xj,nodes,0,1,236,35,30,"PCI-RR-Hsee&Kunreuther2000-replication-extension-snapshot.docx | PCI-RR-Hsee&Kunreuther2000-replication-extension-cover-letter.docx | Hsee and Kunreuther (2000)-Effect-size-power_analysis.pdf | Hsee and Kunreuther (2000)-Effect-size-power_analysis.docx | PCI-RR Stage 1 Data Simulation - Replication and extensions of Hsee and Kunreuther (2000) Studies 1,2,4, and 5.pdf | RRR_Hsee__Kunreuther_2000_Affection_Effect.docx | Changes-tracked-RRR_Hsee__Kunreuther_2000_Affection_Effect.docx | RRR_Hsee__Kunreuther_2000_Affection_Effect.pdf | PCIRR-S1-Hsee&Kunreuther-2000_rep_ext-supplementary.docx | PCIRR-S1-Hsee&Kunreuther-2000_rep_ext-cover-letter.docx"
10.17605/osf.io/b25tr,b25tr,nodes,0,1,575,55,37,PCIRR_Arkes_etal_1994_Studies_1-3_Replication_Lily.docx | PCIRR_Arkes_etal_1994_Studies_1-3_Replication_Lily.pdf | Arkes-1994-PCIRR-replication-data-analysis-v5-G-full-sample.docx | Arkes-1994-PCIRR-replication-data-analysis-v5-G-shown-first.docx | PCIRR-S1-Arkes-etal-1994-RRR-cover-letter.docx | PCIRR-S1-Arkes-etal-1994-RR-main-manuscript.docx | PCIRR-S1-Arkes-etal-1994-RR-supplementary.docx | PCIRR-S1-Arkes-etal-1994-RRR-preprint-v1.pdf | PCIRR-S1-RNR-Arkes-etal-1994-RR-main-manuscript-track-changes.docx | PCIRR-S1-RNR-Arkes-etal-1994-RR-main-manuscript.docx
10.17605/osf.io/bqc74,bqc74,nodes,0,0,0,4,1,Role of Replication Survey downloaded from Qualtrics.pdf
10.17605/osf.io/bep78,bep78,nodes,0,1,581,26,25,Baron-Szymanska-2011-replication-extensions-Mannix.pdf | PCIRR-S2-final-Baron-Szymanska-2011-replication-extension-supplementary.docx | Chan-Feldman-2024-PCIRR-Baron-Szymanska-2011-replication-extension-preprint-final.pdf | PCIRR-S2-final-Baron-Szymanska-2011-replication-extension-main-manuscript.docx | Chan-Feldman-2025-RSOS-Baron-Szymanska-2011-replication-extension-preprint.pdf | RSOS-Baron-Szymanska-2011-replication-extension-supplementary.docx | RSOS-Baron-Szymanska-2011-replication-extension-main-manuscript.docx | Chan-Feldman-2025-RSOS-Baron-Szymanska-2011-replication-extension-print-with-supp.pdf | PCIRR-S1-Baron&Szymanska2011-rep-ext-cover-letter.docx | PCIRR-S1-Baron&Szymanska2011-rep-ext-snapshot-v2-G.docx
10.17605/osf.io/cj6zv,cj6zv,nodes,0,0,0,12,4,Galesic-etal-2009-RRR-main-manuscript.docx | Galesic-etal-2009-RRR-supplementary.docx | Galesic_et_al_2009_RRR.docx | Galesic_et_al_2009_RRR.pdf
10.17605/osf.io/cuqdz,cuqdz,nodes,0,1,1190,1,1,preprint.pdf
10.17605/osf.io/btm7v,btm7v,nodes,0,1,368,20,1,Pre-registered plan.pdf
