doi_r,original,n_ours,n_mo
10.1109/compsac.2013.82,different (one each),1,1
10.1109/icsme58846.2023.00031,same (identical sets),1,1
10.1109/issre.2007.14,same (identical sets),1,1
10.1109/iwsm-mensura.2016.039,same (identical sets),1,1
10.1109/tnsre.2020.2974272,same (identical sets),1,1
10.1109/wcre.2013.6671286,same (identical sets),1,1
10.1111/1440-1630.12112,same (identical sets),1,1
10.1111/1460-6984.12493,same (identical sets),1,1
10.1111/1540-4781.00152,different (one each),1,1
10.1111/acer.12265,different (one each),1,1
10.1111/acer.12280,same (identical sets),3,3
10.1111/acer.12779,same (identical sets),1,1
10.1111/acps.12959,different (one each),1,1
10.1111/bcpt.12070,same (identical sets),1,1
10.1111/bjdp.12216,different (one each),1,1
10.1111/bjhp.12556,same (identical sets),1,1
10.1111/bjop.12496,same (identical sets),1,1
10.1111/bjop.12767,different (one each),1,1
10.1111/bjso.12612,same (identical sets),1,1
10.1111/cogs.12368,same (identical sets),2,2
10.1111/cogs.12721,different (one each),1,1
10.1111/desc.13100,same (identical sets),1,1
10.1111/desc.13399,different (one each),1,1
10.1111/ejn.15353,same (identical sets),1,1
10.1111/ejn.15512,different (one each),1,1
10.1111/famp.12710,same (identical sets),1,1
10.1111/gbb.12012,same (identical sets),1,1
10.1111/gbb.12095,same (identical sets),1,1
10.1111/gbb.12213,same (identical sets),1,1
10.1111/gbb.12254,same (identical sets),1,1
10.1111/gbb.12286,same (identical sets),1,1
10.1111/gbb.12296,same (identical sets),1,1
10.1111/gbb.12874,same (identical sets),1,1
10.1111/head.12240,same (identical sets),3,3
10.1111/head.12329,same (identical sets),1,1
10.1111/head.12807,same (identical sets),2,2
10.1111/ijsa.12095,overlap (some in common),2,1
10.1111/j.0023-8333.2006.00348.x,same (identical sets),1,1
10.1111/j.1360-0443.1988.tb00507.x,same (identical sets),1,1
10.1111/j.1365-2516.2010.02473.x,same (identical sets),1,1
10.1111/j.1365-2648.1989.tb01484.x,same (identical sets),1,1
10.1111/j.1365-2648.2009.04964.x,same (identical sets),1,1
10.1111/j.1365-2788.2005.00742.x,theirs: no original DOI,1,0
10.1111/j.1365-2850.2008.01294.x,theirs: no original DOI,1,0
10.1111/j.1398-9995.2008.01699.x,same (identical sets),1,1
10.1111/j.1467-1770.1996.tb01354.x,different (several),2,1
10.1111/j.1467-7687.2007.00635.x,same (identical sets),1,1
10.1111/j.1467-7687.2008.00781.x,same (identical sets),1,1
10.1111/j.1467-9922.2012.00693.x,same (identical sets),1,1
10.1111/j.1468-1331.2012.03879.x,same (identical sets),1,1
10.1111/j.1469-1809.2009.00509.x,same (identical sets),1,1
10.1111/j.1469-7610.2011.02452.x,same (identical sets),1,1
10.1111/j.1469-8986.1993.tb02088.x,same (identical sets),1,1
10.1111/j.1469-8986.2005.00367.x,same (identical sets),1,1
10.1111/j.1476-5381.2009.00584.x,same (identical sets),1,1
10.1111/j.1526-4610.1992.hed3205239.x,same (identical sets),1,1
10.1111/j.1528-1157.1998.tb01441.x,same (identical sets),1,1
10.1111/j.1532-5415.1989.tb06814.x,same (identical sets),1,1
10.1111/j.1533-8525.1967.tb01054.x,same (identical sets),1,1
10.1111/j.1538-4616.2011.00406.x,same (identical sets),1,1
10.1111/j.1540-4781.1995.tb01114.x,different (one each),1,1
10.1111/j.1540-4781.2006.00384.x,different (one each),1,1
10.1111/j.1542-4774.2011.01043.x,different (one each),1,1
10.1111/j.1547-5069.2006.00093.x,same (identical sets),1,1
10.1111/j.1600-0404.2005.00433.x,same (identical sets),1,1
10.1111/j.1600-0447.1978.tb00238.x,same (identical sets),1,1
10.1111/j.1600-0447.1993.tb03464.x,same (identical sets),1,1
10.1111/j.1600-0447.2006.00868.x,same (identical sets),1,1
10.1111/j.1600-0447.2007.01149.x,same (identical sets),1,1
10.1111/j.1601-183x.2010.00649.x,same (identical sets),1,1
10.1111/j.1741-3737.2006.00343.x,same (identical sets),1,1
10.1111/j.1743-6109.2011.02453.x,same (identical sets),1,1
10.1111/j.1748-0361.2005.tb00079.x,same (identical sets),1,1
10.1111/j.1752-0606.2009.00164.x,same (identical sets),1,1
10.1111/j.1944-9720.2004.tb02174.x,same (identical sets),1,1
10.1111/j.1944-9720.2004.tb02199.x,same (identical sets),1,1
10.1111/j.1944-9720.2008.tb03311.x,same (identical sets),1,1
10.1111/j.2044-8260.1998.tb01292.x,same (identical sets),1,1
10.1111/j.2044-8295.1974.tb01403.x,overlap (some in common),2,1
10.1111/j.2044-8341.1993.tb01764.x,same (identical sets),3,3
10.1111/jabr.12029,different (one each),1,1
10.1111/jan.16929,theirs: no original DOI,1,0
10.1111/jar.70111,same (identical sets),1,1
10.1111/jcpe.12375,same (identical sets),1,1
10.1111/jcpp.13229,same (identical sets),1,1
10.1111/jcpp.13682,different (one each),1,1
10.1111/jdi.12017,same (identical sets),1,1
10.1111/jmft.12383,same (identical sets),1,1
10.1111/jns.12110,same (identical sets),1,1
10.1111/jnu.12713,same (identical sets),1,1
10.1111/jofi.13063,different (one each),1,1
10.1111/joor.12280,same (identical sets),1,1
10.1111/jopy.12500,same (identical sets),1,1
10.1111/jpr.12581,same (identical sets),1,1
10.1111/jsr.12644,same (identical sets),1,1
10.1111/jsr.12749,same (identical sets),1,1
10.1111/lang.12149,same (identical sets),1,1
10.1111/psyp.12176,same (identical sets),1,1
10.1111/psyp.14496,same (identical sets),1,1
10.1111/psyp.14695,same (identical sets),1,1
10.1111/sjop.12462,same (identical sets),2,2
10.1111/sjop.12816,different (one each),1,1
10.1111/sltb.12469,same (identical sets),1,1
10.1111/spsr.12479,different (one each),1,1
10.1121/1.3089220,same (identical sets),1,1
10.1121/10.0015093,same (identical sets),1,1
10.1123/jpah.5.1.19,same (identical sets),1,1
10.1126/sciadv.aaz0652,same (identical sets),1,1
10.1126/science.150.3704.1749.b,theirs: no original DOI,1,0
10.1128/aac.49.6.2180-2188.2005,same (identical sets),1,1
10.1128/jvi.02160-24,same (identical sets),1,1
10.1136/bjsports-2014-094114.83,theirs: no original DOI,1,0
10.1136/bmjebm-2020-111386,same (identical sets),1,1
10.1136/bmjopen-2014-004952,same (identical sets),1,1
10.1136/jech-2015-206698,same (identical sets),1,1
10.1136/jmg.2008.061457,same (identical sets),2,2
10.1136/jmg.2008.062992,overlap (some in common),2,1
10.1136/jmg.2008.064063,overlap (some in common),2,3
10.1136/jmg.2009.067041,same (identical sets),1,1
10.1136/jmg.35.12.1034,same (identical sets),1,1
10.1136/jnnp.74.7.857,same (identical sets),1,1
10.1136/jnnp.74.7.985,same (identical sets),2,2
10.1136/thx.2010.138743,same (identical sets),1,1
10.1142/s0218194011005335,same (identical sets),1,1
10.1145/2676467.2676484,same (identical sets),1,1
10.1145/2915970.2915983,different (one each),1,1
10.1145/3194104.3194110,same (identical sets),1,1
10.1145/3486011.3486428,same (identical sets),1,1
10.1145/3629479.3629495,same (identical sets),1,1
10.1145/3696630.3728722,same (identical sets),1,1
10.1145/3728983,same (identical sets),1,1
10.1152/advan.00040.2018,overlap (some in common),1,2
10.1152/ajpheart.00330.2023,same (identical sets),1,1
10.1152/jn.00361.2019,same (identical sets),1,1
10.1152/physiolgenomics.00019.2023,same (identical sets),1,1
10.1152/physiolgenomics.00085.2017,overlap (some in common),1,2
10.1155/2015/904585,same (identical sets),2,2
10.1155/2021/6698979,same (identical sets),1,1
10.1155/2023/8898498,same (identical sets),1,1
10.11575/prism/9551,same (identical sets),1,1
10.11575/prism/9819,overlap (some in common),2,1
10.1158/1055-9965.epi-08-0241,same (identical sets),1,1
10.1158/1055-9965.epi-08-0327,same (identical sets),1,1
10.1158/1055-9965.epi-08-1223,overlap (some in common),7,7
10.1158/1055-9965.epi-09-0861,same (identical sets),1,1
10.1158/1055-9965.epi-11-0053,same (identical sets),1,1
10.1158/1055-9965.epi-11-0396,same (identical sets),1,1
10.1158/1055-9965.epi-14-0753,same (identical sets),1,1
10.1158/1055-9965.epi-22-0069,same (identical sets),1,1
10.1159/000012254,same (identical sets),2,2
10.1159/000049331,overlap (some in common),1,2
10.1159/000079976,same (identical sets),1,1
10.1159/000117595,same (identical sets),1,1
10.1159/000181154,overlap (some in common),1,2
10.1159/000331585,same (identical sets),1,1
10.1161/circgenetics.108.819326,same (identical sets),1,1
10.1161/jaha.112.005421,overlap (some in common),1,2
10.1161/jaha.115.001980,same (identical sets),1,1
10.1161/strokeaha.107.483115,same (identical sets),1,1
10.1162/jocn_a_02320,same (identical sets),1,1
10.1162/nol.a.15,same (identical sets),1,1
10.1163/22134808-00002573,overlap (some in common),1,2
10.1167/10.14.30,same (identical sets),1,1
10.1167/15.10.3,same (identical sets),1,1
10.1167/15.4.12,overlap (some in common),2,1
10.1167/8.1.1,different (one each),1,1
10.1167/iovs.08-2382,different (one each),1,1
10.1167/iovs.11-7914,same (identical sets),1,1
10.1167/iovs.11-8068,same (identical sets),1,1
10.1167/iovs.14-15105,same (identical sets),2,2
10.1167/jov.20.9.13,same (identical sets),1,1
10.1175/wcas-d-20-0023.1,same (identical sets),1,1
10.1176/ajp.153.11.1484,overlap (some in common),2,1
10.1176/ajp.154.4.551,same (identical sets),1,1
10.1176/appi.ajp.158.8.1314,overlap (some in common),1,2
10.1176/appi.ajp.20220271,same (identical sets),1,1
10.1177/0020764012447884,same (identical sets),1,1
10.1177/0022022100031003001,different (one each),1,1
10.1177/00238309070500010201,same (identical sets),1,1
10.1177/00315125211019704,same (identical sets),1,1
10.1177/00315125241291266,same (identical sets),1,1
10.1177/008124630303300307,different (one each),1,1
10.1177/0145445515580533,same (identical sets),1,1
10.1177/014662167700100406,same (identical sets),1,1
10.1177/026765838900500103,same (identical sets),1,1
10.1177/0269881119874457,same (identical sets),1,1
10.1177/0269881120953994,same (identical sets),1,1
10.1177/02698811241279022,same (identical sets),2,2
10.1177/0271678x16673646,same (identical sets),1,1
10.1177/027347538901100307,same (identical sets),1,1
10.1177/03010066221096987,same (identical sets),1,1
10.1177/03057356211031663,same (identical sets),1,1
10.1177/0333102411421025,overlap (some in common),4,2
10.1177/0333102412457090,same (identical sets),1,1
10.1177/0363546520946056,same (identical sets),1,1
10.1177/0739986312446290,same (identical sets),1,1
10.1177/0741713694045001003,same (identical sets),1,1
10.1177/074823370001600604,same (identical sets),1,1
10.1177/0886260518814267,same (identical sets),1,1
10.1177/0899764011404081,same (identical sets),1,1
10.1177/0956797619896270,same (identical sets),2,2
10.1177/10422587231211005,same (identical sets),1,1
10.1177/1043986218769989,same (identical sets),1,1
10.1177/10497315231218646,same (identical sets),1,1
10.1177/106939719502900203,same (identical sets),1,1
10.1177/1073191102238150,same (identical sets),2,2
10.1177/10870547251314924,same (identical sets),1,1
10.1177/1091142114537891,same (identical sets),1,1
10.1177/1091142114537893,same (identical sets),1,1
10.1177/1091142114537895,same (identical sets),1,1
10.1177/1091142114553785,same (identical sets),1,1
10.1177/1091142115605380,same (identical sets),1,1
10.1177/1091142118765788,same (identical sets),1,1
10.1177/10911421221101690,same (identical sets),1,1
10.1177/1352458509106509,same (identical sets),1,1
10.1177/1352458517720528,same (identical sets),1,1
10.1177/1359105320946389,same (identical sets),1,1
10.1177/13872877251315044,same (identical sets),1,1
10.1177/1461444819874472,same (identical sets),1,1
10.1177/1474704920960450,same (identical sets),1,1
10.1177/1524839907307884,same (identical sets),1,1
10.1177/1526924816641814,different (one each),1,1
10.1177/153331750001500309,theirs: no original DOI,1,0
10.1177/153944928900900404,different (one each),1,1
10.1177/15480518241227660,same (identical sets),1,1
10.1177/155005949402500207,same (identical sets),1,1
10.1177/1744806918825046,same (identical sets),1,1
10.1177/1745691616652873,same (identical sets),1,1
10.1177/1747021819895472,same (identical sets),1,1
10.1177/1747021820915107,same (identical sets),1,1
10.1177/1747021820980301,same (identical sets),1,1
10.1177/17470218221097047,overlap (some in common),2,3
10.1177/17470218221126635,same (identical sets),2,2
10.1177/17470218221137007,same (identical sets),1,1
10.1177/17470218241230812,same (identical sets),1,1
10.1177/17470218241240983,same (identical sets),1,1
10.1177/17470218241269272,same (identical sets),1,1
10.1177/17470218251369493,same (identical sets),1,1
10.1177/17470218251408811,same (identical sets),1,1
10.1177/1759720x211059614,same (identical sets),1,1
10.1177/1948550619887702,different (one each),1,1
10.1177/2041669516663750,same (identical sets),1,1
10.1177/20531680241310002,same (identical sets),1,1
10.1182/blood-2016-07-728063,overlap (some in common),2,18
10.1185/03007995.2011.609540,same (identical sets),1,1
10.1186/1471-2148-9-5,same (identical sets),1,1
10.1186/1471-2350-13-27,overlap (some in common),3,1
10.1186/1471-2350-15-38,same (identical sets),3,3
10.1186/1471-2350-6-13,same (identical sets),1,1
10.1186/1471-2369-15-154,overlap (some in common),1,3
10.1186/1471-244x-11-103,overlap (some in common),3,3
10.1186/1471-2458-8-120,same (identical sets),1,1
10.1186/1471-2474-9-19,same (identical sets),1,1
10.1186/1476-511x-11-155,overlap (some in common),2,3
10.1186/1477-5751-5-18,same (identical sets),1,1
10.1186/1478-7954-7-17,same (identical sets),1,1
10.1186/1546-0096-12-53,same (identical sets),1,1
10.1186/1742-2094-3-33,same (identical sets),1,1
10.1186/1742-2094-6-22,same (identical sets),1,1
10.1186/1744-9081-2-39,same (identical sets),1,1
10.1186/1744-9081-6-1,same (identical sets),1,1
10.1186/1748-7161-8-s2-o2,overlap (some in common),2,2
10.1186/2040-2392-1-8,different (several),2,1
10.1186/2040-2392-5-14,overlap (some in common),1,2
10.1186/ar2423,different (one each),1,1
10.1186/ar2654,same (identical sets),1,1
10.1186/ar4504,different (one each),1,1
10.1186/s10194-024-01865-5,same (identical sets),1,1
10.1186/s12864-022-08451-6,overlap (some in common),1,4
10.1186/s12881-014-0102-9,different (one each),1,1
10.1186/s12881-014-0131-4,same (identical sets),1,1
10.1186/s12881-015-0160-7,same (identical sets),1,1
10.1186/s12881-016-0278-2,same (identical sets),1,1
10.1186/s12881-018-0637-2,same (identical sets),1,1
10.1186/s12888-022-04380-6,same (identical sets),1,1
10.1186/s12891-017-1731-x,same (identical sets),1,1
10.1186/s12916-020-01518-9,same (identical sets),1,1
10.1186/s12920-020-00854-2,same (identical sets),1,1
10.1186/s12952-015-0029-5,same (identical sets),1,1
10.1186/s12955-019-1216-8,same (identical sets),1,1
10.1186/s12967-018-1488-5,same (identical sets),1,1
10.1186/s12967-025-06535-x,different (one each),1,1
10.1186/s13017-018-0214-1,same (identical sets),1,1
10.1186/s13058-024-01955-x,overlap (some in common),1,5
10.1186/s13075-023-03180-x,same (identical sets),1,1
10.1186/s13098-023-01044-7,overlap (some in common),1,2
10.1186/s13098-023-01204-9,overlap (some in common),1,7
10.1186/s13104-016-2324-8,same (identical sets),1,1
10.1186/s13104-017-2610-0,same (identical sets),1,1
10.1186/s13104-019-4477-8,same (identical sets),2,2
10.1186/s13104-019-4590-8,same (identical sets),1,1
10.1186/s13148-022-01296-6,same (identical sets),1,1
10.1186/s13229-018-0188-6,same (identical sets),1,1
10.1186/s13229-025-00654-4,same (identical sets),1,1
10.1186/s13293-015-0026-x,overlap (some in common),2,2
10.1186/s40064-016-2303-5,same (identical sets),1,1
10.1186/s40359-016-0127-2,different (one each),1,1
10.1186/s40359-020-00414-4,same (identical sets),1,1
10.1186/s40359-021-00536-3,different (several),1,2
10.1186/s40359-022-00982-7,overlap (some in common),1,2
10.1186/s40359-024-02194-7,same (identical sets),1,1
10.1186/s40479-017-0077-1,same (identical sets),1,1
10.1186/s41235-018-0101-z,same (identical sets),1,1
10.1186/s41235-020-00260-3,same (identical sets),1,1
10.1186/s41235-022-00372-y,overlap (some in common),3,4
10.1186/s41235-022-00388-4,same (identical sets),1,1
10.1186/s41235-023-00466-1,same (identical sets),1,1
10.1186/s41235-025-00645-2,same (identical sets),1,1
10.1186/s41235-025-00655-0,same (identical sets),1,1
10.1186/s41235-025-00703-9,overlap (some in common),2,1
10.1191/0265532206lt332oa,different (one each),1,1
10.1191/026765899674429493,same (identical sets),1,1
10.1192/bjp.148.6.642,same (identical sets),1,1
10.1192/bjp.161.1.55,theirs: no original DOI,1,0
10.1192/bjp.179.1.46,same (identical sets),1,1
10.1192/bjp.186.4.319,same (identical sets),1,1
10.1192/bjp.bp.110.086991,same (identical sets),1,1
10.1200/jco.2005.05.193,same (identical sets),1,1
10.1200/jco.2007.10.8894,same (identical sets),1,1
10.1207/s15327671espr0903_4,same (identical sets),1,1
10.1207/s15327752jpa3905_8,same (identical sets),1,1
10.1207/s15327752jpa4905_11,overlap (some in common),1,2
10.1207/s15327906mbr0104_1,different (one each),1,1
10.1207/s15374424jccp3204_10,same (identical sets),1,1
10.1210/jc.2007-1712,same (identical sets),1,1
10.1210/jc.2008-0718,overlap (some in common),2,2
10.1210/jc.2009-0931,same (identical sets),1,1
10.1212/01.wnl.0000137051.33486.c7,same (identical sets),1,1
10.1212/01.wnl.0000247672.41736.bd,overlap (some in common),2,2
10.1212/wnl.0000000000000855,overlap (some in common),2,1
10.1212/wnl.0000000000200346,same (identical sets),1,1
10.1212/wnl.0b013e31826c1ab7,different (one each),1,1
10.1257/aer.20141440,overlap (some in common),2,1
10.1257/aer.97.5.2026,same (identical sets),1,1
10.12688/f1000research.2-140.v1,same (identical sets),1,1
10.12688/f1000research.5676.2,same (identical sets),2,2
10.12688/f1000research.77430.2,same (identical sets),1,1
10.1287/mnsc.2022.4484,overlap (some in common),2,2
10.13182/fst90-a29305,overlap (some in common),3,2
10.1348/135910705x26722,same (identical sets),1,1
10.1352/0895-8017(2007)112[40:eomiof]2.0.co;2,same (identical sets),1,1
10.1371/journal.pbio.0030315,same (identical sets),1,1
10.1371/journal.pgen.1009564,same (identical sets),4,4
10.1371/journal.pgen.1011192,different (one each),1,1
10.1371/journal.pone.0004137,overlap (some in common),1,2
10.1371/journal.pone.0007494,same (identical sets),1,1
10.1371/journal.pone.0011761,overlap (some in common),4,3
10.1371/journal.pone.0018813,same (identical sets),1,1
10.1371/journal.pone.0022070,different (one each),1,1
10.1371/journal.pone.0023371,same (identical sets),1,1
10.1371/journal.pone.0025057,overlap (some in common),3,2
10.1371/journal.pone.0025429,same (identical sets),1,1
10.1371/journal.pone.0030237,same (identical sets),1,1
10.1371/journal.pone.0030320,overlap (some in common),1,2
10.1371/journal.pone.0032045,overlap (some in common),2,1
10.1371/journal.pone.0033318,overlap (some in common),2,1
10.1371/journal.pone.0035851,same (identical sets),1,1
10.1371/journal.pone.0038849,same (identical sets),1,1
10.1371/journal.pone.0044424,overlap (some in common),5,1
10.1371/journal.pone.0046385,same (identical sets),1,1
10.1371/journal.pone.0051382,overlap (some in common),3,4
10.1371/journal.pone.0051876,same (identical sets),1,1
10.1371/journal.pone.0055208,same (identical sets),1,1
10.1371/journal.pone.0056732,different (one each),1,1
10.1371/journal.pone.0057410,overlap (some in common),2,8
10.1371/journal.pone.0058048,overlap (some in common),1,2
10.1371/journal.pone.0060231,same (identical sets),3,3
10.1371/journal.pone.0060433,same (identical sets),1,1
10.1371/journal.pone.0063469,overlap (some in common),1,4
10.1371/journal.pone.0077006,overlap (some in common),1,2
10.1371/journal.pone.0086462,different (one each),1,1
10.1371/journal.pone.0091690,same (identical sets),1,1
10.1371/journal.pone.0094096,same (identical sets),1,1
10.1371/journal.pone.0094223,same (identical sets),1,1
10.1371/journal.pone.0095045,different (one each),1,1
10.1371/journal.pone.0095431,same (identical sets),1,1
10.1371/journal.pone.0097417,overlap (some in common),2,2
10.1371/journal.pone.0101784,overlap (some in common),1,3
10.1371/journal.pone.0112563,same (identical sets),1,1
10.1371/journal.pone.0114614,same (identical sets),1,1
10.1371/journal.pone.0115756,same (identical sets),1,1
10.1371/journal.pone.0121744,same (identical sets),1,1
10.1371/journal.pone.0124170,same (identical sets),1,1
10.1371/journal.pone.0126363,same (identical sets),2,2
10.1371/journal.pone.0132885,same (identical sets),1,1
10.1371/journal.pone.0133430,same (identical sets),1,1
10.1371/journal.pone.0137499,same (identical sets),1,1
10.1371/journal.pone.0147939,same (identical sets),1,1
10.1371/journal.pone.0152212,same (identical sets),1,1
10.1371/journal.pone.0155554,different (several),3,1
10.1371/journal.pone.0162449,same (identical sets),1,1
10.1371/journal.pone.0165665,same (identical sets),1,1
10.1371/journal.pone.0170216,same (identical sets),1,1
10.1371/journal.pone.0171305,same (identical sets),1,1
10.1371/journal.pone.0175538,same (identical sets),1,1
10.1371/journal.pone.0180753,same (identical sets),1,1
10.1371/journal.pone.0188891,overlap (some in common),2,4
10.1371/journal.pone.0193770,same (identical sets),1,1
10.1371/journal.pone.0194101,different (several),1,2
10.1371/journal.pone.0200151,same (identical sets),3,3
10.1371/journal.pone.0201655,same (identical sets),1,1
10.1371/journal.pone.0201780,overlap (some in common),3,2
10.1371/journal.pone.0208128,same (identical sets),1,1
10.1371/journal.pone.0209368,overlap (some in common),2,1
10.1371/journal.pone.0209584,same (identical sets),1,1
10.1371/journal.pone.0210327,same (identical sets),1,1
10.1371/journal.pone.0210405,same (identical sets),1,1
10.1371/journal.pone.0217436,different (one each),1,1
10.1371/journal.pone.0217541,same (identical sets),1,1
10.1371/journal.pone.0219409,same (identical sets),1,1
10.1371/journal.pone.0226237,overlap (some in common),1,2
10.1371/journal.pone.0227629,different (several),1,2
10.1371/journal.pone.0233614,same (identical sets),1,1
10.1371/journal.pone.0233904,same (identical sets),1,1
10.1371/journal.pone.0233948,same (identical sets),1,1
10.1371/journal.pone.0235595,same (identical sets),1,1
10.1371/journal.pone.0237829,same (identical sets),1,1
10.1371/journal.pone.0238554,same (identical sets),2,2
10.1371/journal.pone.0239817,same (identical sets),1,1
10.1371/journal.pone.0242262,same (identical sets),1,1
10.1371/journal.pone.0244110,different (one each),1,1
10.1371/journal.pone.0244189,overlap (some in common),3,1
10.1371/journal.pone.0246058,same (identical sets),1,1
10.1371/journal.pone.0252457,same (identical sets),1,1
10.1371/journal.pone.0255424,different (one each),1,1
10.1371/journal.pone.0255484,different (one each),1,1
10.1371/journal.pone.0255531,overlap (some in common),1,3
10.1371/journal.pone.0259424,same (identical sets),1,1
10.1371/journal.pone.0262026,same (identical sets),1,1
10.1371/journal.pone.0262902,different (several),1,2
10.1371/journal.pone.0263879,different (one each),1,1
10.1371/journal.pone.0266171,same (identical sets),1,1
10.1371/journal.pone.0279686,overlap (some in common),2,1
10.1371/journal.pone.0283301,same (identical sets),1,1
10.1371/journal.pone.0284035,overlap (some in common),2,1
10.1371/journal.pone.0285564,overlap (some in common),1,3
10.1371/journal.pone.0287542,overlap (some in common),3,2
10.1371/journal.pone.0287837,same (identical sets),1,1
10.1371/journal.pone.0289062,same (identical sets),1,1
10.1371/journal.pone.0289741,same (identical sets),1,1
10.1371/journal.pone.0298503,same (identical sets),1,1
10.1371/journal.pone.0303918,same (identical sets),1,1
10.1371/journal.pone.0312088,different (one each),1,1
10.1371/journal.pone.0313726,overlap (some in common),1,2
10.1371/journal.pone.0317566,same (identical sets),1,1
10.1371/journal.pone.0321956,same (identical sets),1,1
10.1371/journal.pone.0330681,same (identical sets),1,1
10.1371/journal.pone.0332478,different (one each),1,1
10.14814/phy2.12300,same (identical sets),1,1
10.14814/phy2.13561,overlap (some in common),1,2
10.1503/jpn.220226,same (identical sets),1,1
10.1515/comm.2001.26.3.267,same (identical sets),1,1
10.1515/cti-2022-0032,different (one each),1,1
10.1515/iss-2017-0040,same (identical sets),1,1
10.1515/jbnst-2014-0504,same (identical sets),1,1
10.1519/jsc.0000000000003304,same (identical sets),3,3
10.15195/v2.a20,same (identical sets),1,1
10.1521/aeap.2007.19.3.258,same (identical sets),1,1
10.1521/pedi_2018_32_357,same (identical sets),1,1
10.1523/eneuro.0281-16.2016,overlap (some in common),1,4
10.1523/eneuro.0306-19.2019,same (identical sets),1,1
10.1523/eneuro.0332-19.2020,different (one each),1,1
10.1523/eneuro.0430-21.2022,same (identical sets),1,1
10.1523/jneurosci.1789-22.2023,same (identical sets),1,1
10.1523/jneurosci.21-16-06292.2001,same (identical sets),1,1
10.1523/jneurosci.3184-18.2019,same (identical sets),1,1
10.1523/jneurosci.3292-11.2011,same (identical sets),1,1
10.1523/jneurosci.4000-14.2015,overlap (some in common),4,1
10.1525/collabra.130791,same (identical sets),1,1
10.1525/collabra.31036,same (identical sets),1,1
10.15288/jsa.1983.44.748,same (identical sets),1,1
10.15288/jsa.1987.48.502,same (identical sets),1,1
10.15288/jsad.2016.77.958,overlap (some in common),5,5
10.15298/arthsel.30.1.04,same (identical sets),1,1
10.1534/g3.117.300366,different (one each),1,1
10.1534/genetics.106.067108,same (identical sets),1,1
10.15626/mp.2019.1633,same (identical sets),2,2
10.15626/mp.2020.2628,overlap (some in common),2,3
10.15653/tpg-140231,same (identical sets),1,1
10.1590/1516-3180.2017.0015240217,same (identical sets),1,1
10.1609/aaai.v39i25.34818,overlap (some in common),16,22
10.16875/stem.2012.13.3.105,same (identical sets),1,1
10.16910/jemr.10.4.6,same (identical sets),1,1
10.16910/jemr.12.4.10,different (one each),1,1
10.17605/osf.io/73pnd,same (identical sets),1,1
10.17605/osf.io/acykd,same (identical sets),1,1
10.17605/osf.io/cy89g,same (identical sets),1,1
10.17605/osf.io/wd7zv,same (identical sets),1,1
10.17705/1atrr.00034,same (identical sets),1,1
10.17705/1atrr.00041,same (identical sets),1,1
10.18409/urjiit.vi1.77,same (identical sets),1,1
10.18632/oncotarget.12903,different (one each),1,1
10.18632/oncotarget.9422,same (identical sets),1,1
10.18653/v1/2021.inlg-1.29,same (identical sets),1,1
10.18653/v1/d17-1136,overlap (some in common),7,1
10.18718/81781.15,same (identical sets),1,1
10.18718/81781.8,same (identical sets),1,1
10.18718/81781.9,same (identical sets),1,1
10.1901/jaba.1979.12-211,same (identical sets),1,1
10.1901/jaba.1985.18-61,same (identical sets),1,1
10.1901/jaba.1989.22-325,same (identical sets),1,1
10.1901/jaba.1991.24-53,same (identical sets),1,1
10.1901/jaba.1991.24-537,same (identical sets),1,1
10.1901/jaba.1993.26-461,overlap (some in common),1,2
10.1901/jaba.1994.27-179,same (identical sets),2,2
10.1901/jaba.1994.27-63,same (identical sets),1,1
10.1901/jaba.2000.33-239,different (one each),1,1
10.1901/jaba.2001.34-61,same (identical sets),1,1
10.1901/jaba.2002.35-89,same (identical sets),1,1
10.1901/jaba.2006.170-04,same (identical sets),1,1
10.1901/jaba.2007.40-559,same (identical sets),1,1
10.1901/jaba.2011.44-169,same (identical sets),1,1
10.1901/jeab.1975.24-191,same (identical sets),2,2
10.1901/jeab.1985.44-185,same (identical sets),1,1
10.1901/jeab.2003.80-261,same (identical sets),1,1
10.1901/jeab.2009.91-143,overlap (some in common),1,2
10.1901/jeab.2010.94-13,same (identical sets),1,1
10.1901/jeab.2012.98-169,same (identical sets),1,1
10.2130/jjesp.2218,same (identical sets),1,1
10.2147/ndt.s33679,same (identical sets),1,1
10.2147/nss.s7040,overlap (some in common),1,2
10.2147/prbm.s406523,overlap (some in common),1,2
10.21801/ppcrj.2024.102.3,same (identical sets),1,1
10.2188/jea.11.281,different (one each),1,1
10.2190/2bej-t9m9-mnja-l64l,same (identical sets),1,1
10.2196/18963,same (identical sets),1,1
10.2217/pgs.15.162,different (several),2,2
10.2217/pgs.16.16,same (identical sets),1,1
10.22330/001c.120681,same (identical sets),1,1
10.2307/1132137,same (identical sets),2,2
10.2307/145812,overlap (some in common),2,1
10.2307/40264303,same (identical sets),1,1
10.2307/747555,same (identical sets),1,1
10.2337/db07-1365,same (identical sets),1,1
10.2337/db08-0719,overlap (some in common),2,1
10.2337/diabetes.53.11.3020,same (identical sets),1,1
10.23846/rps0009,different (one each),1,1
10.23846/rps0012,same (identical sets),1,1
10.23846/rps0016,same (identical sets),1,1
10.23846/rps0022,same (identical sets),1,1
10.23846/rps0023,same (identical sets),1,1
10.23846/rps0026,same (identical sets),1,1
