flora_doi_o,flora_url_r,node,n_registrations,registration_dois,registration_dates,any_withdrawn
10.1037/0278-7393.34.3.546,https://osf.io/gxvd3,gxvd3,2,"10.17605/OSF.IO/D2YQJ, 10.17605/OSF.IO/689XC","2015-07-13, 2015-07-23",False
10.1037/a0012833,https://osf.io/rgm6p,rgm6p,1,10.17605/OSF.IO/CTVEJ,2015-07-13,False
10.1037/a0012833,https://osf.io/vy1bc,vy1bc,1,10.17605/OSF.IO/36DR5,2015-07-13,False
10.1111/j.1467-9280.2008.02039.x,https://osf.io/q7f6w,q7f6w,1,10.17605/OSF.IO/P6JXM,2015-07-13,False
10.1111/j.1467-9280.2008.02040.x,https://osf.io/fxqsk,fxqsk,3,"10.17605/OSF.IO/TPZK9, 10.17605/OSF.IO/2UH78, 10.17605/OSF.IO/FYMUE","2015-07-13, 2015-07-23, 2015-07-24",False
10.1111/j.1467-9280.2008.02041.x,https://osf.io/d0n81,d0n81,1,10.17605/OSF.IO/WZXQ9,2015-07-13,False
10.1111/j.1467-9280.2008.02042.x,https://osf.io/bk53t,bk53t,1,10.17605/OSF.IO/RKQW2,2015-07-13,False
10.1111/j.1467-9280.2008.02043.x,https://osf.io/yaeu7,yaeu7,1,10.17605/OSF.IO/E89GH,2015-07-13,False
10.1111/j.1467-9280.2008.02044.x,https://osf.io/tf8ky,tf8ky,2,"10.17605/OSF.IO/U8G3X, 10.17605/OSF.IO/FJ6E8","2015-07-13, 2015-07-23",False
10.1111/j.1467-9280.2008.02045.x,https://osf.io/i29mh,i29mh,3,"10.17605/OSF.IO/BX64Z, 10.17605/OSF.IO/3F9KR, 10.17605/OSF.IO/PPPJG","2015-07-13, 2015-07-24, 2017-01-06",True
10.1111/j.1467-9280.2008.02046.x,https://osf.io/rzjvn,rzjvn,1,10.17605/OSF.IO/PYT4E,2015-07-13,False
10.1111/j.1467-9280.2008.02049.x,https://osf.io/0aifq,0aifq,1,10.17605/OSF.IO/GKNAU,2015-07-13,False
10.1111/j.1467-9280.2008.02050.x,https://osf.io/ta3j8,ta3j8,1,10.17605/OSF.IO/WM2A8,2015-07-13,False
10.1111/j.1467-9280.2008.02051.x,https://osf.io/vwnit,vwnit,1,10.17605/OSF.IO/Z6QW2,2015-07-13,False
10.1111/j.1467-9280.2008.02052.x,https://osf.io/c5fza,c5fza,1,10.17605/OSF.IO/S2D6T,2015-07-13,False
10.1111/j.1467-9280.2008.02054.x,https://osf.io/r5gpv,r5gpv,2,"10.17605/OSF.IO/TK9PM, 10.17605/OSF.IO/3UW96","2015-07-13, 2015-07-24",False
10.1111/j.1467-9280.2008.02056.x,https://osf.io/yuybh,yuybh,1,10.17605/OSF.IO/HT9DU,2015-07-13,False
10.1111/j.1467-9280.2008.02060.x,https://osf.io/blcj6,blcj6,1,10.17605/OSF.IO/J3CFM,2015-07-13,False
10.1111/j.1467-9280.2008.02062.x,https://osf.io/jym7h,jym7h,0,,,False
10.1111/j.1467-9280.2008.02064.x,https://osf.io/jhkpe,jhkpe,1,10.17605/OSF.IO/ZC468,2015-07-13,False
10.1111/j.1467-9280.2008.02066.x,https://osf.io/83n4z,83n4z,0,,,False
