work_id,doi,template,verdict,in_flora,fetched,chars
6943949083,10.17605/osf.io/yw3fp,Prereg Challenge,discard,False,True,6854
6887691131,10.17605/osf.io/bmvhr,OSF-Standard Pre-Data Collection Registration,discard,False,True,84
6887708158,10.17605/osf.io/va7gs,OSF-Standard Pre-Data Collection Registration,discard,False,True,364
6944429532,10.17605/osf.io/5p9sg,OSF-Standard Pre-Data Collection Registration,discard,False,True,234
6925002027,10.17605/osf.io/c4rvs,OSF Preregistration,discard,False,True,2426
6887664520,10.17605/osf.io/8y7xg,EGAP Registration,discard,False,True,2558
6887700379,10.17605/osf.io/bgxj5,Prereg Challenge,discard,False,True,24155
2800220592,10.17605/osf.io/fvg39,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,1253
6963479024,10.17605/osf.io/2y3hc,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6925739300,10.17605/osf.io/n6vzg,OSF-Standard Pre-Data Collection Registration,discard,False,True,169
6887696889,10.17605/osf.io/nzk6y,OSF Preregistration,discard,False,True,16126
6962967091,10.17605/osf.io/wxjze,Prereg Challenge,discard,False,True,43
6925520272,10.17605/osf.io/znh4p,EGAP Registration,discard,False,True,3781
6925071666,10.17605/osf.io/jstx6,OSF Preregistration,discard,False,True,3706
6887644987,10.17605/osf.io/8tgqk,Preregistration Template from AsPredicted.org,discard,False,True,2813
6944053421,10.17605/osf.io/ru7wz,OSF-Standard Pre-Data Collection Registration,discard,False,True,495
6943985184,10.17605/osf.io/4ex89,Prereg Challenge,discard,False,True,8619
6943976051,10.17605/osf.io/u9m72,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6943942057,10.17605/osf.io/5y4aq,"Pre-Registration in Social Psychology (van 't Veer & Giner-Sorolla, 2016): Pre-Registration",discard,False,True,9476
6962602804,10.17605/osf.io/2ezc8,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,2847
2902229188,10.17605/osf.io/apgqj,OSF-Standard Pre-Data Collection Registration,discard,False,True,478
6963170863,10.17605/osf.io/erb5w,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,1831
6925381261,10.17605/osf.io/byqjn,OSF-Standard Pre-Data Collection Registration,discard,False,True,271
6887686491,10.17605/osf.io/d26fq,Preregistration Template from AsPredicted.org,discard,False,True,4333
3194846313,10.17605/osf.io/t9vdf,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
3034190342,10.17605/osf.io/k67ge,,untouched,False,False,0
6943972084,10.17605/osf.io/4pw7m,,untouched,False,False,0
6906656399,10.17605/osf.io/5mbda,Prereg Challenge,discard,False,True,19959
6924946897,10.17605/osf.io/3gvqh,OSF-Standard Pre-Data Collection Registration,discard,False,True,323
6887802404,10.17605/osf.io/qye3h,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
7080402454,10.17605/osf.io/6de2r,,untouched,False,False,0
6962721809,10.17605/osf.io/t6x2m,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6906802404,10.17605/osf.io/gea2s,"Replication Recipe (Brandt et al., 2013): Post-Completion",admit,True,True,987
6962520318,10.17605/osf.io/p58c6,OSF-Standard Pre-Data Collection Registration,discard,False,True,467
6906602422,10.17605/osf.io/ma6vx,,untouched,False,False,0
6944210647,10.17605/osf.io/3n4pu,EGAP Registration,discard,False,True,1095
6887754838,10.17605/osf.io/f3uxm,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,4293
6906454621,10.17605/osf.io/v9dbx,,untouched,False,False,0
6925463540,10.17605/osf.io/4q9x3,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,2044
2904023500,10.17605/osf.io/n3abr,OSF-Standard Pre-Data Collection Registration,discard,False,True,438
6906434310,10.17605/osf.io/u53v2,OSF-Standard Pre-Data Collection Registration,discard,False,True,147
2783948930,10.17605/osf.io/cehgp,Open-Ended Registration,admit,False,True,96
6962646072,10.17605/osf.io/yrq75,,untouched,False,False,0
6887708899,10.17605/osf.io/ha7je,Prereg Challenge,discard,False,True,4344
6906569258,10.17605/osf.io/sxqt4,OSF-Standard Pre-Data Collection Registration,discard,False,True,467
6963161023,10.17605/osf.io/kn3ae,"Replication Recipe (Brandt et al., 2013): Pre-Registration",discard,False,True,7442
6943973511,10.17605/osf.io/t3tk2,OSF-Standard Pre-Data Collection Registration,discard,False,True,467
6962434969,10.17605/osf.io/c3phs,Prereg Challenge,discard,False,True,12373
6887602742,10.17605/osf.io/c5zmb,Preregistration Template from AsPredicted.org,discard,False,True,982
6925261920,10.17605/osf.io/x47be,OSF-Standard Pre-Data Collection Registration,discard,False,True,269
6887711350,10.17605/osf.io/atsje,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6962599445,10.17605/osf.io/6bpxy,OSF-Standard Pre-Data Collection Registration,discard,False,True,421
6944194916,10.17605/osf.io/583nu,,untouched,False,False,0
6925313249,10.17605/osf.io/c3yvk,,untouched,False,False,0
6925123928,10.17605/osf.io/aqjmy,Preregistration Template from AsPredicted.org,discard,False,True,603
6943979299,10.17605/osf.io/mxqhz,,untouched,False,False,0
6887698987,10.17605/osf.io/r5wgb,OSF-Standard Pre-Data Collection Registration,discard,False,True,135
6887717339,10.17605/osf.io/x4m6w,OSF-Standard Pre-Data Collection Registration,discard,False,True,556
6887681245,10.17605/osf.io/qdnb2,,untouched,False,False,0
6925045981,10.17605/osf.io/f36mk,OSF Preregistration,discard,False,True,6505
